309.581, 129.488, 4.021,  4.379 False
309.446, 129.488, 4.051,  4.412 False
309.310, 129.488, 4.081,  4.445 False
309.173, 129.488, 4.112,  4.478 False
309.036, 129.488, 4.141,  4.511 False
308.897, 129.488, 4.172,  4.544 False
308.757, 129.488, 4.202,  4.577 False
308.616, 129.488, 4.233,  4.610 False
308.474, 129.488, 4.263,  4.643 False
308.331, 129.488, 4.294,  4.676 False
308.188, 129.488, 4.324,  4.709 False
308.043, 129.488, 4.354,  4.742 False
307.897, 129.488, 4.384,  4.775 False
307.750, 129.488, 4.414,  4.808 False
307.602, 129.488, 4.444,  4.841 False
307.453, 129.488, 4.474,  4.874 False
307.303, 129.488, 4.504,  4.907 False
307.152, 129.488, 4.534,  4.940 False
307.001, 129.488, 4.563,  4.973 False
306.848, 129.488, 4.593,  5.006 False
306.694, 129.488, 4.622,  5.039 False
306.539, 129.488, 4.652,  5.072 False
306.383, 129.488, 4.682,  5.105 False
306.226, 129.488, 4.712,  5.138 False
306.069, 129.488, 4.741,  5.171 False
305.910, 129.488, 4.771,  5.204 False
305.750, 129.488, 4.801,  5.237 False
305.589, 129.488, 4.832,  5.270 False
305.427, 129.488, 4.861,  5.303 False
305.265, 129.488, 4.891,  5.336 False
305.101, 129.488, 4.921,  5.369 False
304.936, 129.488, 4.950,  5.402 False
304.770, 129.488, 4.980,  5.435 False
304.604, 129.488, 5.009,  5.468 False
304.436, 129.488, 5.039,  5.501 False
304.267, 129.488, 5.069,  5.534 False
304.098, 129.488, 5.098,  5.567 False
303.927, 129.489, 5.127,  5.600 False
303.755, 129.490, 5.156,  5.633 False
303.583, 129.493, 5.182,  5.666 False
303.409, 129.497, 5.209,  5.699 False
303.235, 129.502, 5.229,  5.732 False
303.061, 129.507, 5.229,  5.765 False
302.887, 129.513, 5.223,  5.798 False
302.714, 129.519, 5.224,  5.831 False
302.540, 129.525, 5.236,  5.864 False
302.365, 129.531, 5.256,  5.897 False
302.189, 129.537, 5.283,  5.930 False
302.012, 129.544, 5.315,  5.963 False
301.834, 129.551, 5.351,  5.996 False
301.655, 129.558, 5.389,  6.029 False
301.474, 129.567, 5.428,  6.062 False
301.292, 129.577, 5.468,  6.095 False
301.109, 129.588, 5.509,  6.128 False
300.925, 129.599, 5.549,  6.161 False
300.739, 129.611, 5.588,  6.194 False
300.552, 129.624, 5.627,  6.227 False
300.364, 129.636, 5.666,  6.260 False
300.174, 129.649, 5.703,  6.293 False
299.984, 129.661, 5.740,  6.326 False
299.792, 129.673, 5.776,  6.359 False
299.599, 129.685, 5.812,  6.392 False
299.405, 129.697, 5.847,  6.425 False
