-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.534,  0.379
-183.775, 80.121, 0.719,  0.412
-183.761, 80.093, 0.851,  0.445
-183.744, 80.063, 0.936,  0.478
-183.726, 80.030, 1.007,  0.511
-183.707, 79.996, 1.078,  0.544
-183.687, 79.960, 1.148,  0.577
-183.667, 79.922, 1.220,  0.610
-183.647, 79.881, 1.289,  0.643
-183.627, 79.839, 1.343,  0.676
-183.606, 79.796, 1.388,  0.709
-183.585, 79.751, 1.431,  0.742
-183.564, 79.705, 1.475,  0.775
-183.543, 79.658, 1.515,  0.808
-183.521, 79.610, 1.549,  0.841
-183.499, 79.561, 1.577,  0.874
-183.477, 79.511, 1.604,  0.907
-183.455, 79.461, 1.630,  0.940
-183.433, 79.410, 1.654,  0.973
-183.411, 79.358, 1.676,  1.006
-183.388, 79.305, 1.695,  1.039
-183.366, 79.252, 1.711,  1.072
-183.343, 79.199, 1.727,  1.105
-183.321, 79.145, 1.742,  1.138
-183.298, 79.091, 1.756,  1.171
-183.275, 79.036, 1.769,  1.204
-183.252, 78.981, 1.780,  1.237
-183.230, 78.926, 1.790,  1.270
-183.207, 78.870, 1.800,  1.303
-183.184, 78.814, 1.809,  1.336
-183.162, 78.758, 1.817,  1.369
-183.139, 78.701, 1.825,  1.402
-183.117, 78.644, 1.832,  1.435
-183.094, 78.587, 1.839,  1.468
-183.072, 78.530, 1.845,  1.501
-183.050, 78.472, 1.851,  1.534
-183.028, 78.414, 1.858,  1.567
-183.006, 78.356, 1.863,  1.600
-182.984, 78.298, 1.868,  1.633
-182.962, 78.239, 1.873,  1.666
-182.941, 78.181, 1.878,  1.699
-182.919, 78.122, 1.883,  1.732
